1,2006-05-06,Golf Putting Challenge (IC versus Michelle Wie ( Professional Golfer)),"Michelle Wie, SS501"
2,2006-05-13,Golf Putting Challenge (IC vs. Michelle Wie ( Professional Golfer)),"Michelle Wie, SS501"
3,2006-05-20,Space Special,
4,2006-05-27,Wedding Special,
5,2006-06-03,World Cup 2006 Special #1 - World All-Stars,
6,2006-06-10,World Cup 2006 Special #2 -  South Korea versus  Togo,
7,2006-06-17,World Cup 2006 Special #3 -  South Korea versus  France,Kim Hyun-Chul
8,2006-06-24,World Cup 2006 Special #4 -  South Korea versus  Switzerland,
9,2006-07-01,Summer Vacation Special #1 - Hawaii Swimming Pool Special,
10,2006-07-08,Summer Vacation Special #2 - Bali Swimming Pool Special,
11,2006-07-15,Quiz Challenge with Shinhwa #1,Shinhwa
12,2006-07-29,Quiz Challenge with Shinhwa #2,Shinhwa
13,2006-08-05,Summer Evening Features #1 - Deserted School,
14,2006-08-12,Summer Evening Features #2 - Deserted House,
15,2006-08-19,"'The Fellowship Of Ice' in Queenstown, New Zealand",
16,2006-08-26,"'The Two Hot Springs' Queenstown, New Zealand",Ji Sang-ryeol
17,2006-09-02,"'The Return of the Bare-Faces' in Queenstown, New Zealand",
18,2006-09-09,Fedor Emelianenko Special ( Mixed Martial Artist),Fedor Emelianenko
19,2006-09-16,Fedor Emelianenko Special ( Mixed Martial Artist),Fedor Emelianenko
20,2006-09-23,"Please, Be Friendly - Haha & Jeong Hyeong-don 'Break the Ice' #1",
21,2006-09-30,"Please, Be Friendly - Haha & Jeong Hyeong-don 'Break the Ice' #2",
22,2006-10-07,Chuseok Special,
23,2006-10-14,"Hyeong-don, Let's Play!",
24,2006-10-21,Autumn Picnic Special,
25,2006-10-28,Farming Village Special,
26,2006-11-04,Kim Su-ro Special - Please be fooled!,Kim Su-ro
27,2006-11-11,Kim Su-ro Special - Please be fooled!,Kim Su-ro
27,2006-11-11,Exam Special,Kim Su-ro
28,2006-11-18,Infinite Challenge! Supermodel #1,"Lie Sang-bong, Song Hwi"
29,2006-11-25,Infinite Challenge! Supermodel #2,"Lie Sang-bong, Song Hwi"
30,2006-12-02,Kimchi Preparation Challenges,
31,2006-12-09,Youth Athletic Tournament Special,SS501
32,2006-12-16,Christmas Special #2,"Lee Seung-chul, Kim Tae-hee"
33,2006-12-23,Christmas Special #3,Joo Young-hoon
34,2006-12-30,2006 Infinity Challenge Awards,"Boom, Ji Sang-ryeol, MC Mong, Kim Mi-jin, Ma Bong-chun"
35,2007-01-01,New Year Special,
36,2007-01-13,Noh Hong-chul's X-Files - Who owns the 'Red High-Heel'???,
37,2007-01-20,Infinite Doctors - Examining Jeong Hyeong-don,"Jeon Mun-ui, Choi Jun-yeong"
38,2007-01-27,1970's-80's Special at the roller rink,
39,2007-02-03,Special Language Training (Paju English village),Melanie Walters
40,2007-02-10,Alaska Special (Hanamana Song),"Cha Tae-hyun, Tablo, DJ Tukutz"
41,2007-02-17,2007 Lunar New Year's Day Special,"Jung Il-woo, Kim Hye-seong"
42,2007-02-24,MBC Infinite Challenge's 100-minute Debate,
42,2007-02-24,Hanamana Song Music video,
42,2007-02-24,Spicy Chocolate (Hidden Camera),
42,2007-02-24,Golden Pig Year Special Challenges,
43,2007-03-03,Beginning School Special - Infinite Challenge members become teachers,Seoul Foreign School Girls
44,2007-03-10,Making a Drama Challenge #1,"Kim Su-ro, Jeong Su-young"
45,2007-03-17,Making a Drama Challenge #2,"Kim Su-ro, Lee Hyori"
46,2007-03-24,Making a Drama Challenge #3 - 'Romance' Part 1 Aired,Lee Hyori
47,2007-03-31,Making a Drama Challenge #4 - 'Romance' Part 2 Aired,Lee Hyori
48,2007-04-07,Jeong Jun-ha Birthday Hidden Camera,
49,2007-04-14,"Hyeong-don, Let's Move! - Infinite Challenge members help Jeong Hyeong-don move house #2",
50,2007-04-21,Season 4 - 1st Anniversary Special #1 Truth Camera Challenge 50 - Special Challenges related to the ,"Park Myeong-su, Jeong Jun-ha, Noh Hong-chul and Haha's managers, Kim Tae-ho (Infinite Challenge PD)"
51,2007-04-28,Season 4 - 1st Anniversary Special #2 Group Challenge Infinite Girls' High School - To challenge the,
52,2007-05-05,Lee Young-ae Special,Lee Young-ae
53,2007-05-12,Bong-chun Circus Challenge,"Kids from Yeongwol County, Donghae, Gangwon"
54,2007-05-19,Choi Ji-woo Special,Choi Ji-woo
55,2007-05-26,Hanamana Song Festival #2,Choreographer Eom Tae-in & Kim Hyun-chul
56,2007-06-02,Rice Planting Special,
57,2007-06-09,Thierry Henry Special #1 ( Soccer Player),Thierry Henry
58,2007-06-16,Thierry Henry Special #2 ( Soccer Player),Thierry Henry
