Season 4 (2015),Season 4 (2015),Season 4 (2015),Season 4 (2015),Season 4 (2015)
#,Episodes #,Air Date,Synopsis,Guest/Notes
464,411,"January 3, 2015","Saturday, Saturday's: I am a Singer #3","Lee Bon (MC), Turbo (Kim Jong-kook, Kim Jung-nam), Kim Hyun-jung, S.E.S. (Bada, Shoo) with Seohyun, Cool (Lee Jae-hoon, Kim Sung-soo) with Yewon, So Chan-whee, Jinusean (Jinu, Sean), Jo Sungmo, Lee Jung-hyun, Uhm Jung-hwa, Kim Gun-mo"
465,412,"January 10, 2015",Home Alone Special,Seo Jang-hoon
466,413,"January 24, 2015[6]",I'm an Action Star,"Jung Doo-hong, Heo Myeong-haeng"
467,414,"February 7, 2015[7]",A Hard Day - Battle for the Box #1,
468,415,"February 14, 2015",A Hard Day - Battle for the Box #2,
469,416,"February 21, 2015",IC's Big Party #1,"Seo Jang-hoon, Hyun Joo-yup, Kim Jin, Kim Young-chul, Kim Je-dong, Park Hyuk-kwon, Kang Kyun-sung, Lee Kyu-han, Go Kyung-pyo, Jung Yong-hwa, Seo Eunkwang, Hong Jin-kyung, and Park Seul-gi"
470,417,"February 28, 2015",IC's Big Party #2,"Seo Jang-hoon, Hyun Joo-yup, Kim Jin, Kim Young-chul, Kim Je-dong, Park Hyuk-kwon, Kang Kyun-sung, Lee Kyu-han, Go Kyung-pyo, Jung Yong-hwa, Seo Eunkwang, Hong Jin-kyung, and Park Seul-gi"
470,417,"February 28, 2015",IC's Small Party,"Kim Sung-soo, Pyo Young-ho, Lee Kyun, Jo Hye-ryun, Yoon Jung-soo, and Lee Yoon-suk"
471,418,"March 7, 2015",IC Daycare Center[8],Members become daycare teachers for one day Special guest: Professor Oh Eun-young
472,419,"March 14, 2015",Sixth Man - Secret Member #1,"Jang Dong-min, Kim Young-chul, Jun Hyun-moo, Defconn, Hwang Kwanghee, Joo Sang-wook"
473,420,"March 21, 2015",Sixth Man - Secret Member #2,"Hong Jin-ho, Lee Seo-jin, Hong Jin-kyung, Henry Lau, Kang Kyun-sung, Kim Ji-seok, Choi Siwon, Seo Jang-hoon, Niel, Kim Ji-hoon, Lee Gi-kwang, Park Jin-young, Yoo Byung-jae, Ryu Jeong-nam, Shin Soohyun"
474,421,"March 28, 2015",Sixth Man - Secret Member #3,"Hwang Kwanghee, Kang Kyun-sung, Jang Dong-min, Hong Jin-kyung, Choi Siwon, Yoo Byung-jae, Seo Jang-hoon, Jun Hyun-moo"
475,422,"April 4, 2015",Sixth Man - Secret Member #4,"Hwang Kwanghee, Kang Kyun-sung, Jang Dong-min, Hong Jin-kyung, Choi Siwon, Yoo Byung-jae, Seo Jang-hoon, Jun Hyun-moo[9]"
476,423,"April 11, 2015",Sixth Man - Secret Member #5,"Hwang Kwanghee, Jang Dong-min, Hong Jin-kyung, Kang Kyun-sung, Choi Siwon, Kang Kyun-sung, Kim Sook, Shin Bong-sun, Yoo Byung-jae, Mino, Lee Hoon, Lee Dong-jun"
477,424,"April 18, 2015",Sixth Man - Secret Member #6,"Hwang Kwanghee, Jang Dong-min, Hong Jin-kyung, Kang Kyun-sung, Choi Siwon, Kim Sook, Shin Bong-sun, Yoo Byung-jae, Kim Bo-sung, Kim Chang-ryeol, Jang Do-yeon, Park Na-rae, Nam Chang-hee, Jo Jung-chi, Simon Yam Jang Dong-min withdraw from the final voting due to his past misogynistic remarks controversy[10][11][12] Hwang Kwanghee is elected as the new member of Infinite Challenge[13][14]"
478,425,"April 25, 2015",Desert Island II #1,
479,426,"May 2, 2015",Desert Island II #2,
480,427,"May 9, 2015",Welcoming Ceremony #1,
481,428,"May 16, 2015",Welcoming Ceremony #2,
482,429,"May 23, 2015",Welcoming Ceremony #3,
483,430,"May 30, 2015",Extreme Part Time Job: Overseas Edition #1,
484,431,"June 6, 2015",Extreme Part Time Job: Overseas Edition #2,
485,432,"June 13, 2015",Real Bangkok Tour,
485,432,"June 13, 2015",2015 First Half Infinite News,
486,433,"June 20, 2015",IC Express Delivery - World Scholarship Quiz,"Park Hyung-sik, Uee (voice only), Kim Je-dong"
487,434,"June 27, 2015",I Need Romance,"Uee, Kim Je-dong, Ji Sang-ryeol, Kim Young-chul, Hong Seok-cheon, Song Eun-i, Kim Sook, Shin Bong-sun"
488,435,"July 4, 2015",2015 Infinite Challenge Yeongdong Expressway Song Festival #1,"IU, G-Dragon & Taeyang, Park Jin-Young, Zion.T, Yoon Sang, Band Hyukoh Yoo Hee-yeol, Lee Juck, Yoon Jong-Shin appeared as judges[15]"
489,436,"July 11, 2015",2015 Infinite Challenge Yeongdong Expressway Song Festival #2,"Musical Guest: IU, G-Dragon & Taeyang, Park Jin-Young, Zion.T, Yoon Sang, Band Hyukoh[16] Featuring: Yoo Jae-hwan"
490,437,"July 18, 2015",2015 Infinite Challenge Yeongdong Expressway Song Festival #3,"Musical Guest: IU, G-Dragon & Taeyang, Park Jin-Young, Zion.T, Yoon Sang, Band Hyukoh Featuring: Dok2, The Quiett, Beenzino"
491,438,"July 25, 2015",2015 Infinite Challenge Yeongdong Expressway Song Festival #4,"Musical Guest: IU, G-Dragon & Taeyang, Park Jin-Young, Zion.T, Yoon Sang, Band Hyukoh Featuring: You Hee-yeol, Lee Juck, Yoo Jae-hwan"
492,439,"August 1, 2015",2015 Infinite Challenge Yeongdong Expressway Song Festival #5,"Musical Guest: IU, G-Dragon & Taeyang, Park Jin-Young, Zion.T, Yoon Sang, Band Hyukoh Featuring: You Hee-yeol, Lee Juck, Beenzino, Yoo Byung-jae, Yoo Jae-hwan"
